# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jul  1 21:30:23 2025
#
# COLUMN star_id:        Star ID
# COLUMN region:         Part of Sky Surveyed
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN starthjd:       Start HJD [day]
# COLUMN endhjd:         End HJD [day]
# COLUMN bmag:           B Mag [mag]
# COLUMN vmag:           V Mag [mag]
# COLUMN rmag:           R Mag [mag]
# COLUMN rerr:           R Mag uncertainty [mag]
# COLUMN lcfil:          Light Curve Filter
# COLUMN npts:           Points in Light Curve
#
star_id,region,ra,dec,starthjd,endhjd,bmag,vmag,rmag,rerr,lcfil,npts
TrES_Lyr1_00108,TrES_Lyr1,289.5129,46.6886,2453549.75,2453611.95,10.860,10.042,11.384,0.027,R,3497
TrES_Lyr1_00109,TrES_Lyr1,286.5238,44.4125,2453541.79,2453616.73,12.098,10.323,11.379,0.032,R,11398
TrES_Lyr1_00110,TrES_Lyr1,281.3475,46.7417,2453549.75,2453611.95,12.049,10.405,11.392,0.031,R,3547
TrES_Lyr1_00111,TrES_Lyr1,284.7042,48.1181,2453541.79,2453616.73,12.320,10.472,11.127,0.040,R,11398
TrES_Lyr1_00112,TrES_Lyr1,285.3296,44.9072,2453541.79,2453616.73,11.478,10.163,11.385,0.039,R,11398
TrES_Lyr1_00113,TrES_Lyr1,287.2650,44.1169,2453541.79,2453616.73,11.410,10.209,11.395,0.027,R,15483
TrES_Lyr1_00114,TrES_Lyr1,281.9679,47.3886,2453549.75,2453611.95,11.989,10.322,11.396,0.034,R,3190
TrES_Lyr1_00115,TrES_Lyr1,282.6329,44.0489,2453549.75,2453611.95,11.555,10.190,11.398,0.022,R,4114
TrES_Lyr1_00116,TrES_Lyr1,284.8750,47.1378,2453541.79,2453616.73,11.823,10.292,11.303,0.065,R,11398
TrES_Lyr1_00117,TrES_Lyr1,284.4992,45.8917,2453549.75,2453611.93,11.695,10.153,11.628,0.026,R,2415
TrES_Lyr1_00118,TrES_Lyr1,286.9079,46.1181,2453541.79,2453616.73,10.382,9.812,11.513,0.033,R,11398
TrES_Lyr1_00119,TrES_Lyr1,281.4479,48.0825,2453549.75,2453611.95,10.337,9.859,11.408,0.033,R,4100
TrES_Lyr1_00120,TrES_Lyr1,281.1429,46.6367,2453549.75,2453611.95,10.209,9.844,11.408,0.037,R,4004
TrES_Lyr1_00121,TrES_Lyr1,286.7433,45.2458,2453541.79,2453616.73,11.684,10.279,11.402,0.029,R,11398
TrES_Lyr1_00122,TrES_Lyr1,288.5204,45.9019,2453541.79,2453616.73,,,11.412,0.065,R,13387
TrES_Lyr1_00123,TrES_Lyr1,286.5288,48.2700,2453541.79,2453616.73,,,11.542,0.038,R,11398
TrES_Lyr1_00124,TrES_Lyr1,282.7371,46.8233,2453549.75,2453611.95,10.501,9.929,11.412,0.015,R,2982
TrES_Lyr1_00125,TrES_Lyr1,286.3963,45.1106,2453541.79,2453616.73,11.196,10.128,11.406,0.031,R,11398
TrES_Lyr1_00126,TrES_Lyr1,282.8413,47.0742,2453549.75,2453611.95,11.384,10.200,11.416,0.029,R,3370
TrES_Lyr1_00127,TrES_Lyr1,282.6846,45.7311,2453549.75,2453611.95,11.654,10.371,11.417,0.030,R,3611
TrES_Lyr1_00128,TrES_Lyr1,282.9833,49.5603,2453549.75,2453611.95,10.408,9.816,11.417,0.032,R,4148
TrES_Lyr1_00129,TrES_Lyr1,287.7704,49.3228,2453549.75,2453611.95,10.153,9.752,11.418,0.026,R,4139
TrES_Lyr1_00130,TrES_Lyr1,287.7496,48.1264,2453549.75,2453611.95,9.882,9.609,11.422,0.038,R,3300
TrES_Lyr1_00131,TrES_Lyr1,288.5000,47.2472,2453541.79,2453616.73,,,11.427,0.041,R,11398
TrES_Lyr1_00132,TrES_Lyr1,287.9354,49.4653,2453549.75,2453611.95,9.970,9.635,11.424,0.030,R,4140
TrES_Lyr1_00133,TrES_Lyr1,289.8100,49.3272,2453549.75,2453611.95,11.592,10.192,11.431,0.051,R,4148
TrES_Lyr1_00134,TrES_Lyr1,284.3471,46.1842,2453549.75,2453611.95,10.709,9.977,11.440,0.018,R,3075
TrES_Lyr1_00135,TrES_Lyr1,288.6750,45.0864,2453541.79,2453616.73,,,11.424,0.024,R,15539
TrES_Lyr1_00136,TrES_Lyr1,287.7267,48.0097,2453549.75,2453611.95,10.247,9.854,11.425,0.039,R,3421
TrES_Lyr1_00137,TrES_Lyr1,287.8854,45.5231,2453541.79,2453616.73,11.176,10.150,11.425,0.044,R,11398
TrES_Lyr1_00138,TrES_Lyr1,285.1008,47.4800,2453541.79,2453616.73,11.398,10.124,11.124,0.038,R,11398
TrES_Lyr1_00139,TrES_Lyr1,288.8846,45.3972,2453541.79,2453616.73,,,11.431,0.028,R,15090
TrES_Lyr1_00140,TrES_Lyr1,285.8167,44.2283,2453541.79,2453616.73,11.836,10.444,11.432,0.027,R,11398
TrES_Lyr1_00141,TrES_Lyr1,287.2412,49.6258,2453549.75,2453611.95,11.547,10.142,11.435,0.042,R,4073
TrES_Lyr1_00142,TrES_Lyr1,287.9796,48.0303,2453549.75,2453611.95,9.833,9.636,11.435,0.032,R,3849
TrES_Lyr1_00143,TrES_Lyr1,285.0883,44.9978,2453549.75,2453611.95,10.756,10.122,11.440,0.018,R,3545
TrES_Lyr1_00144,TrES_Lyr1,284.9950,45.6767,2453549.75,2453611.95,12.304,10.492,11.449,0.041,R,2275
TrES_Lyr1_00145,TrES_Lyr1,288.8354,49.7175,2453549.75,2453611.95,10.146,9.623,11.436,0.066,R,4148
TrES_Lyr1_00146,TrES_Lyr1,283.1221,45.7872,2453549.75,2453611.95,10.858,10.033,11.446,0.030,R,3409
TrES_Lyr1_00147,TrES_Lyr1,283.4708,45.3592,2453549.75,2453611.95,11.930,10.429,11.447,0.036,R,3225
TrES_Lyr1_00148,TrES_Lyr1,285.2871,44.1061,2453549.75,2453611.95,12.375,10.581,11.447,0.028,R,3939
TrES_Lyr1_00149,TrES_Lyr1,289.2033,46.5689,2453549.75,2453611.95,,,11.457,0.031,R,3900
TrES_Lyr1_00150,TrES_Lyr1,281.7371,47.3056,2453549.75,2453611.95,11.182,10.133,11.457,0.033,R,3780
TrES_Lyr1_00151,TrES_Lyr1,289.0283,44.1219,2453549.75,2453611.95,,,11.458,0.040,R,4148
TrES_Lyr1_00152,TrES_Lyr1,286.3633,44.3811,2453549.75,2453611.95,11.421,10.177,11.459,0.027,R,3817
TrES_Lyr1_00153,TrES_Lyr1,284.2879,46.5642,2453549.75,2453611.95,11.548,10.256,11.469,0.017,R,3042
TrES_Lyr1_00154,TrES_Lyr1,288.4150,46.1428,2453549.75,2453611.95,11.777,10.389,11.462,0.032,R,3156
TrES_Lyr1_00155,TrES_Lyr1,289.4767,47.2122,2453549.75,2453611.95,10.338,9.909,11.467,0.024,R,4129
TrES_Lyr1_00156,TrES_Lyr1,282.4312,47.6319,2453541.79,2453616.73,12.214,10.437,11.443,0.038,R,11398
TrES_Lyr1_00157,TrES_Lyr1,280.9262,48.4394,2453549.75,2453611.95,11.538,10.242,11.473,0.018,R,4146
TrES_Lyr1_00158,TrES_Lyr1,281.4808,47.1228,2453549.75,2453611.95,10.484,10.055,11.478,0.044,R,4097
TrES_Lyr1_00159,TrES_Lyr1,288.9287,48.9403,2453549.75,2453611.95,,,11.479,0.029,R,4148
TrES_Lyr1_00160,TrES_Lyr1,288.4392,48.2072,2453549.75,2453611.95,10.686,10.030,11.482,0.029,R,4044
TrES_Lyr1_00161,TrES_Lyr1,286.7783,45.2778,2453541.79,2453616.73,10.512,9.955,11.477,0.039,R,11398
TrES_Lyr1_00162,TrES_Lyr1,281.8675,49.6508,2453549.75,2453611.95,10.665,9.924,11.484,0.032,R,4147
TrES_Lyr1_00163,TrES_Lyr1,287.2017,47.3744,2453549.75,2453611.95,9.745,9.627,11.486,0.017,R,3386
TrES_Lyr1_00164,TrES_Lyr1,282.1950,46.5228,2453549.75,2453611.95,10.764,10.178,11.490,0.054,R,4089
TrES_Lyr1_00165,TrES_Lyr1,284.5417,48.9614,2453549.75,2453611.95,10.424,10.077,11.490,0.050,R,4115
TrES_Lyr1_00166,TrES_Lyr1,284.6458,47.3825,2453549.75,2453611.95,11.666,10.273,11.490,0.042,R,2969
TrES_Lyr1_00167,TrES_Lyr1,288.3908,49.7019,2453549.75,2453611.95,11.586,10.288,11.495,0.032,R,4148
TrES_Lyr1_00168,TrES_Lyr1,286.1250,46.7689,2453549.75,2453611.95,11.667,10.308,11.455,0.041,R,3702
TrES_Lyr1_00169,TrES_Lyr1,283.4700,46.4422,2453549.75,2453611.95,10.093,9.830,11.498,0.020,R,3412
TrES_Lyr1_00170,TrES_Lyr1,284.5208,46.7664,2453541.79,2453616.73,11.801,10.306,11.485,0.052,R,11398
TrES_Lyr1_00171,TrES_Lyr1,287.7525,49.1147,2453549.75,2453611.95,11.778,10.283,11.504,0.043,R,4112
TrES_Lyr1_00172,TrES_Lyr1,287.5058,45.4417,2453549.75,2453611.95,11.267,10.186,11.504,0.036,R,3686
TrES_Lyr1_00173,TrES_Lyr1,286.9712,46.8683,2453541.79,2453616.73,10.704,10.476,11.504,0.039,R,11398
TrES_Lyr1_00174,TrES_Lyr1,283.6096,48.4994,2453549.75,2453611.95,11.337,10.275,11.509,0.038,R,3827
TrES_Lyr1_00175,TrES_Lyr1,289.3963,48.7281,2453549.75,2453611.95,,,11.514,0.050,R,4141
TrES_Lyr1_00176,TrES_Lyr1,288.3346,46.3608,2453541.79,2453616.73,11.682,10.200,11.515,0.030,R,11398
TrES_Lyr1_00177,TrES_Lyr1,283.7688,45.9211,2453541.79,2453616.73,12.537,10.622,11.216,0.024,R,11398
TrES_Lyr1_00178,TrES_Lyr1,288.1871,44.9683,2453541.79,2453616.73,11.637,10.399,11.519,0.028,R,15486
TrES_Lyr1_00179,TrES_Lyr1,282.7171,49.5825,2453541.79,2453616.73,12.616,10.627,11.515,0.034,R,15501
TrES_Lyr1_00180,TrES_Lyr1,281.4246,48.6147,2453549.75,2453611.95,10.749,10.093,11.527,0.039,R,4148
TrES_Lyr1_00181,TrES_Lyr1,281.8546,48.9336,2453549.75,2453611.95,10.561,9.964,11.527,0.035,R,4148
TrES_Lyr1_00182,TrES_Lyr1,286.9038,46.1328,2453541.79,2453616.73,11.073,10.156,11.524,0.041,R,11398
TrES_Lyr1_00183,TrES_Lyr1,284.7937,44.9506,2453549.75,2453611.95,10.735,10.133,11.540,0.025,R,3780
TrES_Lyr1_00184,TrES_Lyr1,285.6283,47.5864,2453541.79,2453616.73,11.237,10.209,11.534,0.036,R,11398
TrES_Lyr1_00185,TrES_Lyr1,283.3037,49.6625,2453549.75,2453611.95,10.573,9.965,11.543,0.035,R,4148
TrES_Lyr1_00186,TrES_Lyr1,282.9475,44.3769,2453549.75,2453611.95,11.520,10.335,11.545,0.038,R,4148
TrES_Lyr1_00187,TrES_Lyr1,282.4663,44.3150,2453541.79,2453616.73,9.962,9.862,11.549,0.035,R,11398
TrES_Lyr1_00188,TrES_Lyr1,289.6550,47.3247,2453549.75,2453611.95,11.793,10.397,11.549,0.023,R,4147
TrES_Lyr1_00189,TrES_Lyr1,284.8829,45.8778,2453549.75,2453611.95,11.491,10.300,11.555,0.016,R,3488
TrES_Lyr1_00190,TrES_Lyr1,286.3042,45.5789,2453549.75,2453611.95,11.651,10.350,11.554,0.031,R,3155
TrES_Lyr1_00191,TrES_Lyr1,281.9187,45.4108,2453549.75,2453611.95,10.305,9.949,11.554,0.026,R,4148
TrES_Lyr1_00192,TrES_Lyr1,289.4425,47.9414,2453549.75,2453611.95,11.297,10.323,11.554,0.034,R,4148
TrES_Lyr1_00193,TrES_Lyr1,281.4962,44.7728,2453541.79,2453616.73,10.578,10.066,11.556,0.040,R,15546
TrES_Lyr1_00194,TrES_Lyr1,283.0987,45.6333,2453549.75,2453611.95,10.835,10.120,11.556,0.036,R,3995
TrES_Lyr1_00195,TrES_Lyr1,288.6979,44.9053,2453541.79,2453616.73,,,11.560,0.023,R,15546
TrES_Lyr1_00196,TrES_Lyr1,285.9413,46.5392,2453549.75,2453611.95,10.536,10.051,11.560,0.029,R,3746
TrES_Lyr1_00197,TrES_Lyr1,285.7154,47.0400,2453549.75,2453611.95,10.771,10.111,11.561,0.031,R,3588
TrES_Lyr1_00198,TrES_Lyr1,285.9708,44.3142,2453541.79,2453616.73,10.743,10.189,11.562,0.024,R,15534
TrES_Lyr1_00199,TrES_Lyr1,283.3000,46.0022,2453549.75,2453611.95,11.027,10.185,11.563,0.034,R,3665
TrES_Lyr1_00200,TrES_Lyr1,285.5871,49.8053,2453549.75,2453611.95,11.895,10.428,11.564,0.025,R,4148
TrES_Lyr1_00201,TrES_Lyr1,285.3675,44.6047,2453541.79,2453616.73,11.446,10.373,11.565,0.027,R,15451
TrES_Lyr1_00202,TrES_Lyr1,289.6254,48.9986,2453549.75,2453611.95,11.734,10.285,11.566,0.044,R,4148
TrES_Lyr1_00203,TrES_Lyr1,284.2267,45.1072,2453549.75,2453611.95,10.076,9.911,11.570,0.052,R,4097
